iter	Passed	Remaining
1224	45183	323659
1225	45216	323599
1226	45252	323556
1227	45285	323490
1228	45319	323433
1229	45355	323388
1230	45393	323357
1231	45433	323343
1232	45468	323294
1233	45508	323278
1234	45544	323233
1235	45581	323199
1236	45618	323163
1237	45659	323156
1238	45698	323135
1239	45738	323121
1240	45768	323037
1241	45811	323042
1242	45845	322987
1243	45881	322941
1244	45915	322883
1245	45950	322833
1246	45983	322772
1247	46018	322721
1248	46057	322695
1249	46092	322650
1250	46130	322616
1251	46166	322577
1252	46200	322519
1253	46235	322469
1254	46273	322438
1255	46314	322433
1256	46350	322386
1257	46385	322339
1258	46416	322258
1259	46452	322215
1260	46487	322169
1261	46529	322166
1262	46562	322103
1263	46603	322092
1264	46640	322061
1265	46676	322012
1266	46716	321998
1267	46751	321952
1268	46787	321907
1269	46823	321864
1270	46861	321839
1271	46899	321809
1272	46934	321757
1273	46969	321711
1274	47009	321690
1275	47050	321686
1276	47080	321600
1277	47116	321557
1278	47149	321493
1279	47185	321454
1280	47223	321420
1281	47263	321404
1282	47301	321376
1283	47336	321330
1284	47368	321258
1285	47411	321261
1286	47444	321200
1287	47480	321155
1288	47516	321116
1289	47547	321040
1290	47583	320993
1291	47623	320978
1292	47659	320934
1293	47694	320887
1294	47731	320849
1295	47774	320856
1296	47805	320779
1297	47841	320737
1298	47876	320690
1299	47912	320647
1300	47948	320600
1301	47980	320533
1302	48017	320496
1303	48054	320460
1304	48086	320391
1305	48130	320400
1306	48168	320372
1307	48209	320363
1308	48246	320331
1309	48282	320283
1310	48319	320247
1311	48361	320245
1312	48399	320217
1313	48434	320168
1314	48473	320148
1315	48510	320108
1316	48546	320068
1317	48586	320053
1318	48624	320022
1319	48663	319999
1320	48703	319984
1321	48740	319945
1322	48779	319922
1323	48814	319875
1324	48855	319862
1325	48890	319814
1326	48925	319764
1327	48961	319727
1328	48996	319674
1329	49034	319645
1330	49072	319617
1331	49110	319584
1332	49145	319536
1333	49181	319495
1334	49214	319434
1335	49252	319406
1336	49287	319354
1337	49323	319311
1338	49360	319273
1339	49397	319240
1340	49427	319157
1341	49462	319108
1342	49502	319092
1343	49535	319034
1344	49568	318970
1345	49603	318920
1346	49641	318890
1347	49679	318865
1348	49720	318855
1349	49754	318798
1350	49790	318756
1351	49826	318714
1352	49863	318677
1353	49900	318639
1354	49933	318582
1355	49973	318561
1356	50010	318524
1357	50047	318489
1358	50082	318442
1359	50123	318434
1360	50161	318403
1361	50196	318353
1362	50235	318329
1363	50273	318301
1364	50309	318255
1365	50348	318234
1366	50387	318210
1367	50427	318193
1368	50461	318136
1369	50500	318113
1370	50536	318076
1371	50570	318021
1372	50610	317999
1373	50641	317927
1374	50676	317882
1375	50716	317859
1376	50756	317847
1377	50795	317822
1378	50838	317826
1379	50875	317785
1380	50906	317715
1381	50940	317657
1382	50977	317622
1383	51016	317597
1384	51052	317558
1385	51098	317577
1386	51153	317652
1387	51189	317613
1388	51221	317544
1389	51258	317507
1390	51298	317488
1391	51330	317425
1392	51365	317374
1393	51407	317368
1394	51441	317315
1395	51477	317272
1396	51514	317237
1397	51550	317194
1398	51591	317185
1399	51630	317157
1400	51667	317120
1401	51705	317089
1402	51743	317060
1403	51786	317060
1404	51821	317013
1405	51858	316978
1406	51895	316940
1407	51934	316916
1408	51972	316886
1409	52008	316845
1410	52042	316794
1411	52084	316784
1412	52120	316742
1413	52156	316702
1414	52193	316662
1415	52233	316645
1416	52269	316603
1417	52305	316564
1418	52340	316513
1419	52379	316490
1420	52418	316468
1421	52458	316446
1422	52497	316425
1423	52532	316376
1424	52571	316350
1425	52607	316307
1426	52640	316249
1427	52681	316236
1428	52716	316189
1429	52751	316139
1430	52790	316115
1431	52830	316097
1432	52866	316053
1433	52901	316005
1434	52937	315962
1435	52978	315950
1436	53012	315897
1437	53045	315839
1438	53083	315808
1439	53119	315766
1440	53159	315747
1441	53191	315681
1442	53227	315639
1443	53268	315626
1444	53304	315582
1445	53342	315556
1446	53377	315504
1447	53418	315492
1448	53455	315457
1449	53490	315407
1450	53521	315339
1451	53559	315305
1452	53596	315270
1453	53636	315255
1454	53673	315216
1455	53710	315178
1456	53745	315130
1457	53783	315102
1458	53817	315045
1459	53855	315016
1460	53892	314984
1461	53927	314934
1462	53967	314916
1463	54006	314888
1464	54043	314852
1465	54077	314801
1466	54118	314785
1467	54162	314791
1468	54199	314756
1469	54236	314718
1470	54275	314694
1471	54316	314683
1472	54355	314658
1473	54394	314633
1474	54436	314623
1475	54474	314595
1476	54511	314559
1477	54546	314510
1478	54581	314461
1479	54620	314439
1480	54655	314387
1481	54690	314341
1482	54733	314341
1483	54770	314305
1484	54828	314386
1485	54864	314342
1486	54906	314337
1487	54948	314326
1488	54987	314304
1489	55021	314250
1490	55059	314219
1491	55093	314163
1492	55132	314141
1493	55168	314100
1494	55206	314070
1495	55247	314053
1496	55283	314011
1497	55319	313969
1498	55355	313925
1499	55387	313864
1500	55427	313841
1501	55460	313785
1502	55492	313720
1503	55529	313683
1504	55567	313652
1505	55602	313606
1506	55643	313588
1507	55677	313534
1508	55717	313514
1509	55749	313452
1510	55789	313432
1511	55827	313399
1512	55861	313347
1513	55899	313319
1514	55935	313277
1515	55972	313241
1516	56007	313189
1517	56039	313127
1518	56079	313104
1519	56117	313075
1520	56152	313027
1521	56187	312981
1522	56224	312946
1523	56259	312896
1524	56297	312864
1525	56333	312827
1526	56370	312789
1527	56405	312742
1528	56439	312687
1529	56473	312636
1530	56513	312615
1531	56548	312565
1532	56583	312519
1533	56623	312498
1534	56664	312483
1535	56698	312430
1536	56733	312384
1537	56764	312317
1538	56810	312327
1539	56847	312290
1540	56879	312226
1541	56910	312161
1542	56948	312126
1543	56983	312082
1544	57021	312051
1545	57077	312117
1546	57119	312110
1547	57156	312072
1548	57193	312035
1549	57234	312019
1550	57263	311942
1551	57298	311891
1552	57333	311847
1553	57370	311810
1554	57404	311754
1555	57441	311720
1556	57477	311676
1557	57514	311639
1558	57549	311593
1559	57580	311527
1560	57615	311480
1561	57648	311419
1562	57685	311386
1563	57720	311338
1564	57756	311297
1565	57794	311265
1566	57835	311248
1567	57870	311202
1568	57909	311177
1569	57942	311118
1570	57983	311101
1571	58030	311118
1572	58069	311095
1573	58110	311079
1574	58149	311053
1575	58184	311006
1576	58218	310954
1577	58260	310946
1578	58297	310910
1579	58328	310837
1580	58365	310801
1581	58403	310772
1582	58442	310747
1583	58482	310724
1584	58515	310668
1585	58552	310631
1586	58593	310617
1587	58629	310574
1588	58670	310560
1589	58711	310545
1590	58750	310515
1591	58786	310477
1592	58824	310444
1593	58864	310425
1594	58903	310398
1595	58937	310346
1596	58977	310324
1597	59015	310293
1598	59049	310239
1599	59079	310168
1600	59118	310142
1601	59158	310122
1602	59195	310085
1603	59233	310054
1604	59270	310015
1605	59309	309990
1606	59347	309959
1607	59384	309919
1608	59420	309877
1609	59456	309838
1610	59491	309791
1611	59527	309749
1612	59563	309707
1613	59605	309696
1614	59642	309663
1615	59676	309610
1616	59714	309578
1617	59753	309551
1618	59788	309503
1619	59823	309459
1620	59859	309415
1621	59897	309383
1622	59937	309361
1623	59972	309314
1624	60005	309258
1625	60039	309206
1626	60073	309153
1627	60113	309132
1628	60152	309107
1629	60189	309069
1630	60224	309026
1631	60262	308992
1632	60300	308961
1633	60338	308927
1634	60372	308879
1635	60404	308818
1636	60442	308784
1637	60483	308768
1638	60518	308719
1639	60553	308673
1640	60586	308617
1641	60618	308555
1642	60651	308497
1643	60687	308457
1644	60722	308410
1645	60756	308361
1646	60787	308294
1647	60823	308252
1648	60860	308214
1649	60899	308190
1650	60932	308133
1651	60972	308111
1652	61005	308054
1653	61050	308056
1654	61085	308013
1655	61121	307968
1656	61156	307922
1657	61193	307884
1658	61236	307881
1659	61275	307851
1660	61310	307805
1661	61350	307786
